"","ï..Protocol","Sheet","Data.Set","Input.Gate","X.Parameter","Y.Parameter","Gate","Number","X.Total","X.Gated","X.Med","X.AMean","X.Mode","X.Stdev","X.CV","HP.X.CV","X.Min","X.Max","X.GMean","Y.Med","Y.AMean","Y.Mode","Y.Stdev","Y.CV","HP.Y.CV","Y.Min","Y.Max","Y.GMean","Logic"
"7171","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4skin]","foxp3","cd25","R+-",NA,NA,"3.12","5.92","13.04","","79.94","612.95",NA,NA,NA,"6.33","0.51","0.48",NA,"0.19","38.67",NA,NA,NA,"0.47",""
"7172","panel3","treg","CTCL051SC 01AB skin panel3 00026176 2017-03-29 099","[cd4skin]","foxp3","cd25","R++",NA,NA,"23.21","7.65","8.69","","4.25","48.92",NA,NA,NA,"7.72","2.96","4.34",NA,"4.23","97.45",NA,NA,NA,"3.04",""
"7173","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","All",340831,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","Ungated"
"7174","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","cd4blood",1212,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","cd4 AND viable_cd3 AND lymphocytes AND singlets AND blood"
"7175","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","cd4skin",550,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","cd4 AND viable_cd3 AND lymphocytes AND singlets AND skin"
"7176","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","lymphocytes",18101,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","lymphocytes AND singlets"
"7177","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","pb_cd4",1070,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","cd4 AND viable_cd3 AND lymphocytes AND singlets AND NOT(clone) AND blood"
"7178","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","pb_cd8",2211,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","cd8 AND viable_cd3 AND lymphocytes AND singlets AND blood"
"7179","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","singlets",299280,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","singlets"
"7180","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","tcrvb_pos_blood",152,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","clone AND viable_cd3 AND lymphocytes AND singlets AND NOT(cd8) AND blood"
"7181","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","til_cd4",461,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","cd4 AND viable_cd3 AND lymphocytes AND singlets AND NOT(clone) AND skin"
"7182","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","til_cd8",82,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","cd8 AND viable_cd3 AND lymphocytes AND singlets AND skin"
"7183","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","tumour",94,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","clone AND viable_cd3 AND lymphocytes AND singlets AND NOT(cd8) AND skin"
"7184","panel3","populations","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","","","","viable_cd3",4360,NA,"","","","","","",NA,NA,NA,"","","",NA,"","",NA,NA,NA,"","viable_cd3 AND lymphocytes AND singlets"
"7185","panel3","expression1","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd8]","il10","Count","All",NA,NA,"","0.35","0.37","0.29","0.18","",NA,NA,NA,"0.35","","",NA,"","",NA,NA,NA,"",""
"7186","panel3","expression1","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd8]","il10","Count","All",NA,NA,"","0.73","0.75","1.18","0.34","",NA,NA,NA,"0.68","","",NA,"","",NA,NA,NA,"",""
"7187","panel3","expression1","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd4]","il10","Count","All",NA,NA,"","0.39","0.41","0.38","0.23","",NA,NA,NA,"0.39","","",NA,"","",NA,NA,NA,"",""
"7188","panel3","expression1","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd4]","il10","Count","All",NA,NA,"","0.65","0.73","0.99","0.72","",NA,NA,NA,"0.63","","",NA,"","",NA,NA,NA,"",""
"7189","panel3","expression1","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[tumour]","il10","Count","All",NA,NA,"","0.81","0.78","0.89","0.29","",NA,NA,NA,"0.72","","",NA,"","",NA,NA,NA,"",""
"7190","panel3","expression1","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[tcrvb_pos_blood]","il10","Count","All",NA,NA,"","0.48","0.51","0.42","0.23","",NA,NA,NA,"0.47","","",NA,"","",NA,NA,NA,"",""
"7191","panel3","expression1","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[cd4blood]","il10","Count","All",NA,NA,"","0.40","0.43","0.38","0.24","",NA,NA,NA,"0.40","","",NA,"","",NA,NA,NA,"",""
"7192","panel3","expression1","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[cd4skin]","il10","Count","All",NA,NA,"","0.68","0.74","0.71","0.67","",NA,NA,NA,"0.64","","",NA,"","",NA,NA,NA,"",""
"7193","panel3","expression2","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd8]","cd25","Count","All",NA,NA,"","0.20","0.28","0.21","0.37","",NA,NA,NA,"0.24","","",NA,"","",NA,NA,NA,"",""
"7194","panel3","expression2","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd8]","cd25","Count","All",NA,NA,"","0.20","0.23","0.15","0.19","",NA,NA,NA,"0.21","","",NA,"","",NA,NA,NA,"",""
"7195","panel3","expression2","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd4]","cd25","Count","All",NA,NA,"","0.55","2.17","0.45","3.68","",NA,NA,NA,"0.85","","",NA,"","",NA,NA,NA,"",""
"7196","panel3","expression2","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd4]","cd25","Count","All",NA,NA,"","7.34","10.09","4.80","9.93","",NA,NA,NA,"5.40","","",NA,"","",NA,NA,NA,"",""
"7197","panel3","expression2","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[tumour]","cd25","Count","All",NA,NA,"","10.60","14.60","4.66","13.39","",NA,NA,NA,"8.71","","",NA,"","",NA,NA,NA,"",""
"7198","panel3","expression2","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[tcrvb_pos_blood]","cd25","Count","All",NA,NA,"","2.13","4.16","0.74","5.18","",NA,NA,NA,"2.18","","",NA,"","",NA,NA,NA,"",""
"7199","panel3","expression2","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[cd4blood]","cd25","Count","All",NA,NA,"","0.63","2.43","0.45","3.97","",NA,NA,NA,"0.96","","",NA,"","",NA,NA,NA,"",""
"7200","panel3","expression2","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[cd4skin]","cd25","Count","All",NA,NA,"","7.74","10.89","4.66","10.77","",NA,NA,NA,"5.86","","",NA,"","",NA,NA,NA,"",""
"7201","panel3","expression3","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd8]","foxp3","Count","All",NA,NA,"","1.84","1.91","1.56","0.66","",NA,NA,NA,"1.81","","",NA,"","",NA,NA,NA,"",""
"7202","panel3","expression3","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd8]","foxp3","Count","All",NA,NA,"","1.73","1.75","1.82","0.62","",NA,NA,NA,"1.64","","",NA,"","",NA,NA,NA,"",""
"7203","panel3","expression3","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd4]","foxp3","Count","All",NA,NA,"","2.62","5.11","1.90","31.32","",NA,NA,NA,"3.14","","",NA,"","",NA,NA,NA,"",""
"7204","panel3","expression3","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd4]","foxp3","Count","All",NA,NA,"","8.18","11.81","8.18","48.27","",NA,NA,NA,"7.08","","",NA,"","",NA,NA,NA,"",""
"7205","panel3","expression3","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[tumour]","foxp3","Count","All",NA,NA,"","7.53","8.97","7.47","5.98","",NA,NA,NA,"7.06","","",NA,"","",NA,NA,NA,"",""
"7206","panel3","expression3","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[tcrvb_pos_blood]","foxp3","Count","All",NA,NA,"","3.91","5.44","1.55","4.17","",NA,NA,NA,"4.13","","",NA,"","",NA,NA,NA,"",""
"7207","panel3","expression3","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[cd4blood]","foxp3","Count","All",NA,NA,"","2.69","5.17","2.10","29.46","",NA,NA,NA,"3.22","","",NA,"","",NA,NA,NA,"",""
"7208","panel3","expression3","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[cd4skin]","foxp3","Count","All",NA,NA,"","8.01","11.33","8.18","44.27","",NA,NA,NA,"6.98","","",NA,"","",NA,NA,NA,"",""
"7209","panel3","expression4","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd8]","tgfb1","Count","All",NA,NA,"","1.64","1.74","1.92","0.88","",NA,NA,NA,"1.59","","",NA,"","",NA,NA,NA,"",""
"7210","panel3","expression4","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd8]","tgfb1","Count","All",NA,NA,"","1.65","2.81","1.66","9.43","",NA,NA,NA,"1.63","","",NA,"","",NA,NA,NA,"",""
"7211","panel3","expression4","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd4]","tgfb1","Count","All",NA,NA,"","1.54","1.74","1.49","0.84","",NA,NA,NA,"1.59","","",NA,"","",NA,NA,NA,"",""
"7212","panel3","expression4","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[til_cd4]","tgfb1","Count","All",NA,NA,"","1.27","1.34","1.33","0.49","",NA,NA,NA,"1.26","","",NA,"","",NA,NA,NA,"",""
"7213","panel3","expression4","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[tumour]","tgfb1","Count","All",NA,NA,"","1.47","1.58","1.66","1.01","",NA,NA,NA,"1.44","","",NA,"","",NA,NA,NA,"",""
"7214","panel3","expression4","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[tcrvb_pos_blood]","tgfb1","Count","All",NA,NA,"","1.75","1.88","1.66","0.73","",NA,NA,NA,"1.75","","",NA,"","",NA,NA,NA,"",""
"7215","panel3","expression4","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[cd4blood]","tgfb1","Count","All",NA,NA,"","1.57","1.76","1.49","0.83","",NA,NA,NA,"1.61","","",NA,"","",NA,NA,NA,"",""
"7216","panel3","expression4","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[cd4skin]","tgfb1","Count","All",NA,NA,"","1.30","1.39","1.22","0.62","",NA,NA,NA,"1.29","","",NA,"","",NA,NA,NA,"",""
"7217","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd8]","foxp3","cd25","All",NA,NA,"100.00","1.84","1.91","","0.66","34.39",NA,NA,NA,"1.81","0.20","0.28",NA,"0.37","133.29",NA,NA,NA,"0.24",""
"7218","panel3","treg","CTCL053LS 01Z skin panel3 00026178 2017-03-29 101","[pb_cd8]","foxp3","cd25","K--",NA,NA,"79.69","1.82","1.86","","0.52","28.10",NA,NA,NA,"1.77","0.16","0.17",NA,"0.11","67.59",NA,NA,NA,"0.16",""
